Name,Position,Team,Ppg,Ast,Trb,Stls,Blks
David Roddy,PF,HOU,4.3,0.7,1.7,0.0,0.3
Drew Eubanks,C,LAC,2.7,0.4,2.4,0.1,0.3
Pelle Larsson,SG,MIA,4.6,1.2,1.7,0.6,0.1
Julian Phillips,SF,CHI,4.6,0.5,2.1,0.5,0.3
Cody Williams,SG,UTA,4.6,1.2,2.3,0.5,0.3
Rob Dillingham,PG,MIN,4.5,2.0,1.0,0.4,0.0
Jett Howard,SF,ORL,4.5,0.7,1.2,0.2,0.2
Kevon Looney,C,GSW,4.5,1.6,6.1,0.6,0.5
Mason Plumlee,C,PHO,4.5,1.8,6.1,0.4,0.6
Dalen Terry,SG,CHI,4.5,1.3,1.7,0.6,0.2
Marvin Bagley III,PF,MEM,3.6,0.3,2.3,0.2,0.3
Charles Bassey,C,SAS,4.4,0.5,4.2,0.4,0.8
Tony Bradley,C,IND,4.4,0.4,3.0,0.1,0.6
Reggie Jackson,PG,PHI,4.4,1.5,1.4,0.5,0.1
Reed Sheppard,PG,HOU,4.4,1.4,1.5,0.7,0.3
Lamar Stevens,PF,MEM,4.4,0.5,2.2,0.3,0.2
Mo Bamba,C,NOP,2.5,0.5,6.3,0.0,0.8
Jevon Carter,PG,CHI,4.3,1.1,1.1,0.4,0.1
Micah Potter,C,UTA,4.3,0.8,4.3,0.4,0.4
Terrence Shannon Jr. ,SG,MIN,4.3,1.0,1.5,0.2,0.2
Daniel Theis,C,NOP,4.3,1.6,4.3,0.5,0.5
Torrey Craig,SF,BOS,2.7,0.7,2.8,0.4,0.6
Wendell Moore Jr.,SG,CHO,5.4,1.2,3.2,0.6,0.1
Dominick Barlow,SF,ATL,4.2,0.5,2.4,0.3,0.5
Kessler Edwards,SF,DAL,4.2,1.1,2.9,0.5,0.5
Oso Ighodaro,PF,PHO,4.2,1.2,3.6,0.5,0.5
Kris Murray,SF,POR,4.2,1.0,2.6,0.5,0.2
Duop Reath,C,POR,4.2,0.6,2.0,0.3,0.3
Cam Spencer,SG,MEM,4.2,1.4,1.2,0.4,0.0
Maxwell Lewis,SF,BRK,5.3,0.8,2.5,0.4,0.3
Jaylen Clark,SG,MIN,4.1,0.7,1.3,0.9,0.1
Caleb Houstan,SF,ORL,4.1,0.6,1.3,0.4,0.1
Jordan Miller,SF,LAC,4.1,0.9,1.6,0.5,0.1
Jalen Pickett,SG,DEN,4.1,2.2,1.4,0.4,0.1
Paul Reed,C,DET,4.1,1.0,2.7,0.9,0.6
Gui Santos,PF,GSW,4.1,1.4,3.1,0.4,0.2
Jarred Vanderbilt,PF,LAL,4.1,1.1,5.1,1.0,0.3
Colby Jones,SG,WAS,8.7,2.5,4.3,1.3,0.4
Nicolas Batum,PF,LAC,4.0,1.1,2.8,0.7,0.5
Malachi Flynn,PG,CHO,4.0,1.8,1.8,0.8,0.0
Ron Harper Jr.,SF,DET,4.0,2.0,7.0,0.0,0.0
Josh Richardson,SG,MIA,4.0,1.5,1.5,1.0,0.1
Steven Adams,C,HOU,3.9,1.1,5.6,0.4,0.5
Kyle Lowry,PG,PHI,3.9,2.7,1.9,0.9,0.3
Olivier-Maxence Prosper,PF,DAL,3.9,0.8,2.4,0.5,0.1
Patty Mills,PG,LAC,3.1,0.4,0.1,0.1,0.0
Branden Carlson,C,OKC,3.8,0.4,1.7,0.2,0.7
Devin Carter,PG,SAC,3.8,1.1,2.1,0.6,0.1
Ousmane Dieng,C,OKC,3.8,0.8,2.2,0.5,0.2
Markieff Morris,PF,LAL,5.5,2.1,1.9,0.1,0.3
Emoni Bates,SF,CLE,3.7,0.8,0.7,0.1,0.1
DeAndre Jordan,C,DEN,3.7,0.9,5.1,0.3,0.5
Craig Porter Jr.,PG,CLE,3.7,1.4,1.3,0.3,0.3
Jackson Rowe,PF,GSW,3.7,0.7,1.8,0.7,0.0
Blake Wesley,SG,SAS,3.7,2.0,1.1,0.6,0.1
JT Thor,PF,WAS,3.9,0.5,3.8,0.5,0.5
Baylor Scheierman,SG,BOS,3.6,1.1,2.1,0.5,0.1
Jae'Sean Tate,SF,HOU,3.6,0.9,2.3,0.5,0.1
Jaylon Tyson,SG,CLE,3.6,0.9,2.0,0.3,0.1
Elfrid Payton,PG,CHO,1.0,3.3,2.2,1.0,0.5
Luka Garza,C,MIN,3.5,0.3,1.4,0.2,0.1
Cory Joseph,PG,ORL,3.5,1.4,1.5,0.5,0.1
Doug McDermott,SF,SAC,3.5,0.2,0.5,0.1,0.0
Dario Šarić,C,DEN,3.5,1.4,3.1,0.4,0.1
Jamaree Bouyea,PG,MIL,3.4,2.0,1.0,0.8,0.4
Bruno Fernando,C,TOR,3.4,1.1,3.0,0.2,0.5
Andre Jackson Jr.,SG,MIL,3.4,1.2,2.7,0.5,0.2
Isaac Jones,PF,SAC,3.4,0.3,1.4,0.1,0.3
Kevin Knox,SF,GSW,3.3,0.4,1.2,0.1,0.3
Damion Lee,SG,PHO,3.3,0.4,0.8,0.2,0.0
Jeenathan Williams,SG,HOU,3.3,0.5,0.7,0.4,0.2
Elijah Harkless,SG,UTA,3.2,0.8,2.1,1.0,0.1
Zeke Nnaji,PF,DEN,3.2,0.4,1.6,0.4,0.7
Cam Reddish,SF,LAL,3.2,0.7,2.0,1.0,0.3
Delon Wright,PG,NYK,4.3,2.1,1.4,0.9,0.2
Kylor Kelley,C,NOP,3.3,1.0,6.0,0.3,0.3
Gary Harris,SG,ORL,3.0,0.6,1.3,0.5,0.3
Maxi Kleber,PF,DAL,3.0,1.3,2.8,0.3,0.5
Taze Moore,SG,POR,3.0,0.5,4.0,1.0,0.0
Rayan Rupert,SG,POR,3.0,0.5,1.3,0.3,0.1
P.J. Tucker,SF,NYK,3.0,0.0,2.7,0.3,0.3
Pete Nance,PF,MIL,3.8,1.2,1.8,0.2,0.3
Markelle Fultz,PG,SAC,2.9,1.3,1.0,0.5,0.1
Taj Gibson,C,CHO,2.9,0.6,3.2,0.2,0.5
Tyler Smith,PF,MIL,2.9,0.2,1.1,0.1,0.2
RayJ Dennis,PG,IND,2.7,1.3,1.1,0.6,0.2
David Duke Jr.,SG,SAS,2.7,0.7,0.8,0.2,0.0
Keshad Johnson,SF,MIA,2.7,0.3,1.8,0.3,0.3
Reece Beekman,PG,BRK,2.7,1.8,1.1,0.9,0.1
Jae Crowder,PF,SAC,2.6,0.7,2.2,0.3,0.0
Josh Minott,SF,MIN,2.6,0.4,1.0,0.3,0.3
Hunter Tyson,PF,DEN,2.6,0.4,1.5,0.2,0.1
Jaden Springer,PG,UTA,3.8,1.4,2.0,0.7,0.2
Trey Jemison,C,LAL,2.6,0.3,2.8,0.1,0.4
Anthony Gill,PF,WAS,2.5,0.3,1.3,0.2,0.0
Dillon Jones,SF,OKC,2.5,1.1,2.2,0.3,0.1
Pat Spencer,PG,GSW,2.5,1.2,1.2,0.4,0.1
Johnny Davis,SG,WAS,2.4,0.3,1.1,0.4,0.2
Christian Koloko,C,LAL,2.4,0.4,2.5,0.2,0.4
John Konchar,SG,MEM,2.4,0.9,3.3,0.7,0.3
MarJon Beauchamp,SF,NYK,2.5,0.2,1.5,0.2,0.0
Bronny James,SG,LAL,2.3,0.8,0.7,0.3,0.1
Mason Jones,SG,SAC,2.3,1.1,0.9,0.0,0.1
Miles Norris,PF,BOS,2.3,0.0,3.0,0.7,0.3
Patrick Baldwin Jr.,SF,LAC,3.0,0.5,1.5,0.0,0.0
Drew Peterson,PF,BOS,2.2,0.5,1.6,0.2,0.1
TyTy Washington Jr.,PG,PHO,2.2,1.0,0.8,0.2,0.0
Jordan McLaughlin,PG,SAS,2.5,1.5,0.5,0.3,0.1
JD Davison,PG,BOS,2.1,0.8,0.8,0.3,0.1
Chris Duarte,SG,CHI,2.1,0.5,1.2,0.0,0.0
Enrique Freeman,PF,IND,2.1,0.4,1.4,0.1,0.1
Johnny Furphy,SG,IND,2.1,0.4,1.4,0.4,0.2
Dwight Powell,C,DAL,2.1,1.0,2.1,0.3,0.4
Josh Christopher,SG,MIA,2.0,0.6,0.6,0.4,0.2
Tyler Kolek,PG,NYK,2.0,1.7,0.7,0.3,0.1
Adama Sanogo,C,CHI,2.0,0.3,1.5,0.0,0.0
Kobe Brown,PF,LAC,1.9,0.6,1.6,0.2,0.1
Ariel Hukporti,C,NYK,1.9,0.4,2.0,0.0,0.6
Bobi Klintman,SF,DET,1.9,0.9,0.9,0.3,0.1
Garrett Temple,SG,TOR,1.9,1.1,1.0,0.6,0.1
Jericho Sims,C,MIL,2.4,0.8,4.9,0.1,0.6
Vlatko Čančar,PF,DEN,1.8,0.7,2.5,0.2,0.2
Adam Flagler,SG,OKC,1.8,0.3,0.7,0.2,0.1
Trentyn Flowers,SF,LAC,1.8,0.0,0.7,0.0,0.0
E.J. Liddell,PF,CHI,1.8,0.3,0.8,0.1,0.1
Jahmir Young,PG,CHI,1.8,1.0,0.5,0.0,0.0
Pacome Dadiet,SG,NYK,1.7,0.3,1.0,0.2,0.1
Alex Ducas,SG,OKC,1.7,0.2,1.2,0.2,0.0
PJ Hall,C,DEN,1.7,0.2,1.2,0.0,0.2
Emanuel Miller,PF,CHI,1.7,0.3,1.3,0.2,0.0
Tristan Thompson,C,CLE,1.7,0.6,3.4,0.1,0.3
Alex Len,C,LAL,2.2,0.8,3.1,0.1,0.3
Yuki Kawamura,PG,MEM,1.6,0.9,0.5,0.1,0.0
Jack McVeigh,PF,HOU,1.6,0.1,0.6,0.0,0.2
Armel Traoré,SF,LAL,1.6,0.1,1.7,0.4,0.2
Jordan Walsh,PF,BOS,1.6,0.4,1.3,0.2,0.2
Phillip Wheeler,PF,PHI,1.6,0.4,1.6,0.2,0.4
Sidy Cissoko,SF,POR,2.0,1.8,2.2,0.2,0.2
Jazian Gortman,PG,DAL,1.5,0.4,0.3,0.1,0.1
Kevin McCullar Jr.,SF,NYK,1.5,0.5,2.0,0.3,0.3
Leonard Miller,SF,MIN,1.5,0.0,0.8,0.2,0.1
Quincy Olivari,PG,LAL,1.5,0.5,0.0,0.0,0.0
Matt Ryan,SF,NYK,1.5,0.2,0.4,0.1,0.0
Jacob Toppin,SF,ATL,17.0,2.0,4.0,0.0,0.0
Cam Christie,SG,LAC,1.4,0.5,0.9,0.4,0.1
Chris Livingston,SF,MIL,1.4,0.2,1.7,0.2,0.0
Trey Alexander,SG,DEN,1.3,0.5,0.5,0.1,0.0
Spencer Jones,SF,DEN,1.3,0.3,0.9,0.3,0.3
Skal Labissière,PF,SAC,1.3,0.3,0.8,0.0,0.0
Jalen Bridges,SF,PHO,1.1,0.0,0.5,0.0,0.0
Yuri Collins,PG,GSW,1.0,2.0,1.5,1.0,0.0
Daniss Jenkins,PG,DET,1.0,0.4,0.3,0.0,0.0
Braxton Key,SF,GSW,1.0,0.0,0.7,0.7,0.0
Bryce McGowens,SG,POR,1.0,0.2,0.2,0.1,0.0
Xavier Tillman Sr.,C,BOS,1.0,0.2,1.3,0.3,0.2
Luke Travers,SG,CLE,1.0,0.7,1.7,0.1,0.1
Isaiah Crawford,SF,SAC,0.9,0.1,0.5,0.1,0.1
Justin Minaya,SF,POR,0.9,0.4,0.5,0.3,0.1
Anton Watson,SF,NYK,0.9,0.2,0.3,0.1,0.0
D.J. Carton,SG,TOR,0.8,0.8,1.0,0.5,0.0
PJ Dozier,SG,MIN,0.8,0.6,0.6,0.1,0.0
Joe Ingles,SF,MIN,0.8,1.2,0.6,0.1,0.0
Harrison Ingram,SF,SAS,0.8,0.6,1.8,0.6,0.0
Ulrich Chomche,PF,TOR,0.7,0.3,1.1,0.0,0.1
James Johnson,PF,IND,0.7,0.3,0.5,0.0,0.2
Liam Robbins,C,MIL,0.7,0.2,0.9,0.2,0.2
Stanley Umude,SG,MIL,0.7,0.2,0.8,0.1,0.3
Cui Yongxi,SG,BRK,0.6,0.0,0.4,0.0,0.0
Tristen Newton,SG,MIN,0.0,0.3,1.3,0.3,0.0
Malevy Leons,SF,OKC,0.3,0.2,0.5,0.0,0.0
Daishen Nix,PG,MIN,0.3,1.0,1.3,0.0,0.0
Terence Davis,SG,SAC,0.0,1.0,1.0,0.0,0.0
Jesse Edwards,C,MIN,0.0,0.5,0.0,0.0,0.0
Mac McClung,SG,ORL,0.0,1.5,0.5,0.0,0.0
Jalen McDaniels,SF,WAS,0.0,0.3,0.0,0.3,0.0
Riley Minix,SF,SAS,0.0,0.0,2.0,0.0,0.0
Jahlil Okafor,C,IND,0.0,1.0,1.0,0.0,0.0
Zyon Pullin,SG,MEM,0.0,0.0,0.0,0.0,0.0
Isaiah Stevens,PG,MIA,0.0,0.0,0.7,0.3,0.0
Terry Taylor,PF,SAC,0.0,0.7,0.3,0.0,0.0
League Average,,,,,,,
