Name,Position,Team,Ppg,Ast,Trb,Stls,Blks
Christian Braun,SG,DEN,15.4,2.6,5.2,1.1,0.5
Jonathan Kuminga,PF,GSW,15.3,2.2,4.6,0.8,0.4
Jared McCain,SG,PHI,15.3,2.6,2.4,0.7,0.0
Mark Williams,C,CHO,15.3,2.5,10.2,0.7,1.2
Kelly Oubre Jr.,SF,PHI,15.1,1.8,6.1,1.5,0.5
Chet Holmgren,C,OKC,15.0,2.0,8.0,0.7,2.2
Kyle Kuzma,PF,MIL,14.5,2.2,5.6,0.5,0.4
Stephon Castle,PG,SAS,14.7,4.1,3.7,0.9,0.3
Aaron Gordon,PF,DEN,14.7,3.2,4.8,0.5,0.3
P.J. Washington,PF,DAL,14.7,2.3,7.8,1.1,1.1
Quentin Grimes,SG,PHI,21.9,4.5,5.2,1.5,0.4
Josh Giddey,PG,CHI,14.6,7.2,8.1,1.2,0.6
Jakob Poeltl,C,TOR,14.5,2.8,9.6,1.2,1.2
Deandre Ayton,C,POR,14.4,1.6,10.2,0.8,1.0
Gradey Dick,SG,TOR,14.4,1.8,3.6,0.9,0.2
Jerami Grant,PF,POR,14.4,2.1,3.5,0.9,1.0
Payton Pritchard,PG,BOS,14.3,3.5,3.8,0.9,0.2
Naz Reid,C,MIN,14.2,2.3,6.0,0.7,0.9
Dyson Daniels,SG,ATL,14.1,4.4,5.9,3.0,0.7
Tre Mann,PG,CHO,14.1,3.0,2.9,0.5,0.3
Amen Thompson,SF,HOU,14.1,3.8,8.2,1.4,1.3
Fred VanVleet,PG,HOU,14.1,5.6,3.7,1.6,0.4
Dillon Brooks,SF,HOU,14.0,1.7,3.7,0.8,0.2
Tolu Smith,PF,DET,14.0,0.0,8.0,0.0,0.0
Klay Thompson,SF,DAL,14.0,2.0,3.4,0.7,0.4
Bobby Portis,PF,MIL,13.9,2.1,8.4,0.7,0.5
Tobias Harris,PF,DET,13.7,2.2,5.9,1.0,0.8
Josh Hart,SG,NYK,13.6,5.9,9.6,1.5,0.4
Jarrett Allen,C,CLE,13.5,1.9,9.7,0.9,0.9
Onyeka Okongwu,C,ATL,13.4,2.3,8.9,0.9,0.9
Russell Westbrook,PG,DEN,13.3,6.1,4.9,1.4,0.5
Naji Marshall,SF,DAL,13.2,3.0,4.8,1.0,0.2
Dennis Schröder,PG,DET,10.8,5.3,2.6,0.5,0.2
Rui Hachimura,PF,LAL,13.1,1.4,5.0,0.8,0.4
Brook Lopez,C,MIL,13.0,1.8,5.0,0.6,1.9
Alex Sarr,C,WAS,13.0,2.4,6.5,0.7,1.5
Moritz Wagner,C,ORL,12.9,1.4,4.9,0.8,0.4
Malcolm Brogdon,PG,WAS,12.7,4.1,3.8,0.5,0.2
Scoot Henderson,PG,POR,12.7,5.1,3.0,1.0,0.2
Keldon Johnson,SF,SAS,12.7,1.6,4.8,0.6,0.3
D'Angelo Russell,PG,BRK,12.9,5.6,2.8,1.1,0.7
Zaccharie Risacher,SF,ATL,12.6,1.2,3.6,0.7,0.5
Santi Aldama,PF,MEM,12.5,2.9,6.4,0.8,0.4
Ty Jerome,SG,CLE,12.5,3.4,2.5,1.1,0.0
Keegan Murray,PF,SAC,12.4,1.4,6.7,0.8,0.9
Lonnie Walker IV,SG,PHI,12.4,2.5,3.2,0.5,0.3
Harrison Barnes,PF,SAS,12.3,1.7,3.8,0.5,0.2
Bilal Coulibaly,SF,WAS,12.3,3.4,5.0,1.3,0.7
Ayo Dosunmu,SG,CHI,12.3,4.5,3.5,0.9,0.4
Daniel Gafford,C,DAL,12.3,1.4,6.8,0.4,1.8
Jaden McDaniels,PF,MIN,12.2,2.0,5.7,1.3,0.9
Jabari Smith Jr.,PF,HOU,12.2,1.1,7.0,0.4,0.7
Caris LeVert,SG,ATL,14.9,2.9,3.7,0.9,0.5
Drew Timme,PF,BRK,12.1,2.2,7.2,0.4,0.1
Tari Eason,PF,HOU,12.0,1.5,6.4,1.7,0.9
Rudy Gobert,C,MIN,12.0,1.8,10.9,0.8,1.4
Aaron Nesmith,SF,IND,12.0,1.2,4.0,0.8,0.4
Aaron Wiggins,SG,OKC,12.0,1.8,3.9,0.8,0.2
Khris Middleton,SF,WAS,10.7,3.4,3.7,1.3,0.2
Jalen Duren,C,DET,11.8,2.7,10.3,0.7,1.1
Donte DiVincenzo,SG,MIN,11.7,3.6,3.7,1.2,0.3
Brandin Podziemski,SG,GSW,11.7,3.4,5.1,1.1,0.2
Corey Kispert,SF,WAS,11.6,1.7,3.0,0.4,0.2
Jeremy Sochan,PF,SAS,11.4,2.4,6.5,0.8,0.5
Toumani Camara,PF,POR,11.3,2.2,5.8,1.5,0.6
Isaiah Hartenstein,C,OKC,11.2,3.8,10.7,0.8,1.1
Buddy Hield,SG,GSW,11.1,1.6,3.2,0.8,0.3
Jrue Holiday,PG,BOS,11.1,3.9,4.3,1.1,0.4
Walker Kessler,C,UTA,11.1,1.7,12.2,0.6,2.4
Gary Trent Jr.,SG,MIL,11.1,1.2,2.3,1.0,0.1
Spencer Dinwiddie,PG,DAL,11.0,4.4,2.6,0.9,0.2
Tim Hardaway Jr.,SG,DET,11.0,1.6,2.4,0.5,0.1
Duncan Robinson,SF,MIA,11.0,2.4,2.3,0.5,0.1
Guerschon Yabusele,C,PHI,11.0,2.1,5.6,0.8,0.3
Brice Sensabaugh,SF,UTA,10.9,1.5,3.0,0.6,0.1
Bogdan Bogdanović,SG,LAC,11.4,3.2,3.1,0.7,0.2
Jordan Hawkins,SG,NOP,10.8,1.2,2.8,0.5,0.4
Brandon Boston Jr.,SG,NOP,10.7,2.2,3.2,1.3,0.2
Nikola Jović,PF,MIA,10.7,2.8,3.9,0.8,0.3
Grayson Allen,SG,PHO,10.6,2.1,3.0,0.8,0.3
Keon Johnson,SG,BRK,10.6,2.2,3.8,1.0,0.4
Terry Rozier,PG,MIA,10.6,2.6,3.7,0.6,0.2
Obi Toppin,PF,IND,10.5,1.6,4.0,0.6,0.4
Jonas Valančiūnas,C,SAC,8.7,1.8,7.0,0.5,0.6
Ochai Agbaji,SG,TOR,10.4,1.5,3.8,0.9,0.5
Jaylen Wells,SG,MEM,10.4,1.7,3.4,0.6,0.1
Grant Williams,PF,CHO,10.4,2.3,5.1,1.1,0.8
Kevin Porter Jr.,SG,MIL,11.7,3.7,3.9,1.3,0.1
Jose Alvarado,PG,NOP,10.3,4.6,2.4,1.3,0.3
Nic Claxton,C,BRK,10.3,2.2,7.4,0.9,1.4
Herbert Jones,SF,NOP,10.3,3.3,3.9,1.9,0.5
De'Anthony Melton,SG,GSW,10.3,2.8,3.3,1.2,0.3
Isaiah Joe,SG,OKC,10.2,1.6,2.6,0.6,0.1
Tyus Jones,PG,PHO,10.2,5.3,2.4,0.9,0.1
Trendon Watford,PF,BRK,10.2,2.6,3.6,0.6,0.3
Keion Brooks Jr.,SF,NOP,10.1,0.9,4.1,0.7,0.7
Luguentz Dort,SF,OKC,10.1,1.6,4.1,1.1,0.5
Justin Edwards,SF,PHI,10.1,1.6,3.4,1.0,0.4
Derrick Jones Jr.,SF,LAC,10.1,0.8,3.4,1.0,0.4
Ausar Thompson,SF,DET,10.1,2.3,5.1,1.7,0.7
Chris Boucher,PF,TOR,10.0,0.7,4.5,0.5,0.5
Andrew Nembhard,SG,IND,10.0,5.0,3.3,1.2,0.2
Ziaire Williams,SF,BRK,10.0,1.3,4.6,1.0,0.4
Kevin Huerter,SG,CHI,13.2,3.2,3.3,1.2,0.3
Georges Niang,PF,ATL,12.1,1.6,3.0,0.4,0.3
Julian Champagnie,SF,SAS,9.9,1.4,3.9,0.7,0.4
Scotty Pippen Jr.,PG,MEM,9.9,4.4,3.3,1.3,0.4
Nick Smith Jr.,SG,CHO,9.9,2.4,2.1,0.3,0.1
Bub Carrington,PG,WAS,9.8,4.4,4.2,0.7,0.3
Moses Moody,SG,GSW,9.8,1.3,2.6,0.8,0.4
Amir Coffey,SG,LAC,9.7,1.1,2.2,0.6,0.1
Max Christie,SG,DAL,11.2,2.5,4.2,0.9,0.3
Kyle Filipowski,C,UTA,9.6,1.9,6.1,0.7,0.3
Tosan Evbuomwan,SF,BRK,9.5,2.0,4.3,0.9,0.4
Miles McBride,PG,NYK,9.5,2.9,2.5,1.0,0.3
Jalen Wilson,PF,BRK,9.5,1.8,3.4,0.5,0.1
Nickeil Alexander-Walker,SG,MIN,9.4,2.7,3.2,0.6,0.4
Cole Anthony,PG,ORL,9.4,2.9,3.0,0.7,0.5
Anthony Black,PG,ORL,9.4,3.1,2.9,1.1,0.6
Max Strus,SF,CLE,9.4,3.2,4.3,0.5,0.2
Tristan Vukcevic,C,WAS,9.4,1.1,3.7,0.3,0.7
Cam Whitmore,SF,HOU,9.4,1.0,3.0,0.6,0.3
Nick Richards,C,PHO,9.5,0.6,8.6,0.2,0.8
Kel'el Ware,C,MIA,9.3,0.9,7.4,0.6,1.1
Zach Edey,C,MEM,9.2,1.0,8.3,0.5,1.3
Wendell Carter Jr.,C,ORL,9.1,2.0,7.2,0.8,0.6
Noah Clowney,PF,BRK,9.1,0.9,3.9,0.5,0.5
Dalton Knecht,SF,LAL,9.1,0.8,2.8,0.3,0.1
A.J. Lawson,SG,TOR,9.1,1.2,3.3,0.5,0.2
T.J. McConnell,PG,IND,9.1,4.4,2.4,1.1,0.3
Yves Missi,C,NOP,9.1,1.4,8.2,0.5,1.3
Royce O'Neale,SF,PHO,9.1,2.2,4.7,0.9,0.5
Jared Butler,SG,PHI,11.5,4.9,2.5,1.1,0.3
Marcus Smart,PG,WAS,9.3,2.5,1.9,1.1,0.2
Draymond Green,PF,GSW,9.0,5.6,6.1,1.5,1.0
Killian Hayes,PG,BRK,9.0,5.2,3.0,0.7,0.7
Al Horford,C,BOS,9.0,2.1,6.2,0.6,0.9
Julian Strawther,SG,DEN,9.0,1.3,2.2,0.6,0.2
Patrick Williams,PF,CHI,9.0,2.0,3.8,0.8,0.5
Jusuf Nurkić,C,CHO,9.2,2.6,6.5,0.7,0.7
Clint Capela,C,ATL,8.9,1.1,8.5,0.6,1.0
Johnny Juzang,SG,UTA,8.9,1.1,2.9,0.6,0.1
Luke Kennard,SG,MEM,8.9,3.3,2.8,0.8,0.1
Justin Champagnie,SF,WAS,8.8,1.0,5.7,1.0,0.6
Svi Mykhailiuk,SF,UTA,8.8,2.0,2.4,0.5,0.2
Chris Paul,PG,SAS,8.8,7.4,3.6,1.3,0.3
Kelly Olynyk,C,NOP,10.7,3.6,5.9,0.9,0.6
Dorian Finney-Smith,PF,LAL,7.9,1.4,3.6,0.9,0.3
Oshae Brissett,SF,PHI,8.7,0.7,3.7,0.7,0.5
Kentavious Caldwell-Pope,SG,ORL,8.7,1.8,2.2,1.3,0.4
Isaiah Collier,PG,UTA,8.7,6.3,3.3,0.9,0.2
Dante Exum,PG,DAL,8.7,2.8,1.7,0.6,0.2
Kyshawn George,SG,WAS,8.7,2.5,4.2,1.0,0.7
Jaden Hardy,SG,DAL,8.7,1.4,1.6,0.5,0.1
Dereck Lively II,C,DAL,8.7,2.4,7.5,0.6,1.6
Tyrese Martin,SG,BRK,8.7,2.0,3.7,0.6,0.2
Matas Buzelis,SF,CHI,8.6,1.0,3.5,0.4,0.9
Jaime Jaquez Jr.,SF,MIA,8.6,2.5,4.4,0.9,0.2
Ja'Kobe Walter,SG,TOR,8.6,1.6,3.1,0.8,0.2
Sam Hauser,PF,BOS,8.5,0.9,3.2,0.6,0.2
Larry Nance Jr.,PF,ATL,8.5,1.6,4.3,0.8,0.5
Jared Rhoden,SG,TOR,11.4,1.4,3.8,0.9,0.2
Jaylen Nowell,SG,NOP,8.4,2.3,2.5,0.1,0.5
Cason Wallace,SG,OKC,8.4,2.5,3.4,1.8,0.5
Bruce Brown,PG,NOP,8.2,2.4,4.2,0.7,0.3
Dalano Banton,PG,POR,8.3,2.4,2.0,0.6,0.5
Brandon Clarke,PF,MEM,8.3,1.0,5.1,0.8,0.6
Keon Ellis,SG,SAC,8.3,1.5,2.7,1.5,0.8
Brandon Williams,PG,DAL,8.3,2.3,1.8,0.7,0.2
Mike Conley,PG,MIN,8.2,4.5,2.6,1.1,0.2
Taurean Prince,SF,MIL,8.2,1.9,3.6,1.0,0.2
Jalen Smith,C,CHI,8.2,1.0,5.6,0.3,0.7
Quinten Post,PF,GSW,8.1,1.3,3.5,0.4,0.4
Peyton Watson,SF,DEN,8.1,1.4,3.4,0.7,1.4
Davion Mitchell,PG,MIA,10.3,5.3,2.7,1.4,0.3
Caleb Martin,SF,DAL,5.4,1.9,2.9,0.9,0.2
Tyson Etienne,PG,BRK,7.9,1.7,1.3,0.4,0.1
Day'Ron Sharpe,C,BRK,7.9,1.8,6.6,0.8,0.8
KJ Simpson,PG,CHO,7.8,3.1,3.0,0.9,0.2
Terance Mann,SG,ATL,9.8,2.1,3.1,0.6,0.1
Karlo Matković,PF,NOP,7.7,1.1,5.0,0.5,1.0
AJ Johnson,SG,WAS,9.1,3.1,2.4,0.5,0.1
Lonzo Ball,PG,CHI,7.6,3.3,3.4,1.3,0.5
Oscar Tshiebwe,C,UTA,7.6,0.6,8.7,0.9,0.1
Garrison Mathews,SG,ATL,7.5,1.3,1.9,0.6,0.3
Matisse Thybulle,SG,POR,7.5,1.9,3.5,2.2,0.6
A.J. Green,SG,MIL,7.4,1.5,2.4,0.5,0.1
Josh Green,SG,CHO,7.4,1.6,2.5,1.1,0.2
Richaun Holmes,PF,WAS,7.4,1.4,5.7,0.3,0.7
Damion Baugh,SG,CHO,7.3,3.7,3.3,1.0,0.1
Alec Burks,SG,MIA,7.3,1.1,2.5,0.6,0.1
Ricky Council IV,SF,PHI,7.3,1.3,2.9,0.4,0.2
Andre Drummond,C,PHI,7.3,0.9,7.8,1.0,0.5
Tre Jones,PG,CHI,11.5,4.9,3.2,1.1,0.3
Goga Bitadze,C,ORL,7.2,2.0,6.6,0.7,1.4
Tristan Da Silva,SF,ORL,7.2,1.5,3.3,0.4,0.2
